Name,Country,Latitude,Longitude,Elevation,Type,Status,marker-symbol
Cayambe,Ecuador,0.029,-77.986,5790,Compound volcano,Historical,vol-red
Cayute-La Vigueria,Chile,-41.25,-72.27,506,Pyroclastic cone,Holocene,vol-red
CayutuÇ-La Viguer°a,Chile,-41.25,-72.267,506,Pyroclastic cones,Tephrochronology,vol-red
Ceboruco,Mexico,21.125,-104.508,2280,Stratovolcano,Historical,vol-red
"Cendres, Ile des",Vietnam,10.158,109.014,-20,Submarine volcanoes,Historical,vol-red
Central Island,Kenya,3.5,36.042,550,Stratovolcano,Holocene,vol-red
Cereme,Indonesia,-6.892,108.4,3078,Stratovolcano,Historical,vol-red
Ch'uga-ryong,North Korea,38.33,127.33,452,Shield volcano,Holocene,vol-red
Chacana,Ecuador,-0.375,-78.25,4643,Caldera,Historical,vol-red
"Chachani, Nevado",Peru,-16.191,-71.53,6057,Stratovolcano,Holocene,vol-red
"Chachani, Nevado",Peru,-16.191,-71.53,6057,Stratovolcano,Holocene?,vol-red
Chagulak,United States,52.57,-171.13,1142,Stratovolcano,Holocene,vol-red
Chaine des Puys,France,45.775,2.967,1464,Cinder cone,Radiocarbon,vol-red
Chaiten,Chile,-42.833,-72.646,962,Caldera,Holocene,vol-red
Changbaishan,North Korea,41.98,128.08,2744,Stratovolcano,Historical,vol-red
"Chapulul, Cerro",Chile,-38.37,-71.08,2143,Cinder cone,Holocene,vol-red
Cherny,Russia,56.82,159.67,1778,Stratovolcano,Holocene,vol-red
Cherpuk Group,Russia,55.55,157.467,1868,Pyroclastic cones,Radiocarbon,vol-red
Chichinautzin,Mexico,19.08,-99.13,3930,Volcanic field,Radiocarbon,vol-red
"Chichon, El",Mexico,17.36,-93.228,1150,Tuff cone,Historical,vol-red
Chiginagak,United States,57.13,-157,2075,Stratovolcano,Historical,vol-red
Chikurachki,Russia,50.325,155.458,1816,Stratovolcano,Historical,vol-red
Chiliques,Chile,-23.58,-67.7,5778,Stratovolcano,Holocene,vol-red
Chiliques,Chile,-23.583,-67.7,5778,Stratovolcano,Holocene?,vol-red
"Chillan, Nevados de",Chile,-36.863,-71.377,3212,Stratovolcano,Historical,vol-red
Chimborazo,Ecuador,-1.464,-78.815,6310,Stratovolcano,Radiocarbon,vol-red
Chinameca,El Salvador,13.475,-88.32,1228,Stratovolcano,Holocene,vol-red
Chingo Volc Field,Guatemala,14.12,-89.73,1775,Stratovolcano,Holocene,vol-red
Chiquimula Volc Field,Guatemala,14.83,-89.55,1192,Cinder cone,Holocene,vol-red
Chiracha,Ethiopia,6.65,38.12,1650,Stratovolcano,Holocene,vol-red
Chirinkotan,Russia,48.98,153.48,724,Stratovolcano,Historical,vol-red
Chirip,Russia,45.38,147.92,1589,Stratovolcano,Historical,vol-red
Chirpoi,Russia,46.525,150.875,742,Caldera,Historical,vol-red
Chokai,Japan,39.08,140.03,2237,Stratovolcano,Historical,vol-red
Chyulu Hills,Kenya,-2.68,37.88,2188,Volcanic field,Anthropology,vol-red
"Ciguatepe, Cerro El",Nicaragua,12.53,-86.142,603,Stratovolcano,Holocene,vol-red
Cinnamon Butte,United States,43.241,-122.108,1956,Cinder cone,Holocene,vol-red
"Cinotepec, Cerro",El Salvador,14.02,-89.25,665,Volcanic field,Holocene,vol-red
Clark,New Zealand,-36.446,177.839,-860,Submarine volcano,Fumarolic,vol-red
Clear Lake,United States,38.97,-122.77,1439,Volcanic field,Holocene,vol-red
Cleft Segment,Pacific Ocean,44.83,-130.3,-2140,Submarine volcano,Historical,vol-red
Cleveland,United States,52.82,-169.95,1730,Stratovolcano,Historical,vol-red
Coatepeque Caldera,El Salvador,13.87,-89.55,746,Caldera,Holocene,vol-red
"Cochons, Ile Aux",Indian Ocean,-46.1,50.23,775,Stratovolcano,Holocene,vol-red
Cofre de Perote,Mexico,19.492,-97.15,4282,Shield volcano,Radiocarbon,vol-red
Colachi,Chile,-23.23,-67.65,5631,Stratovolcano,Holocene,vol-red
Coleman Seamount,Solomon Is.,-8.83,157.17,0,Submarine volcano,Holocene,vol-red
Colima,Mexico,19.514,-103.62,3850,Stratovolcano,Historical,vol-red
"Colluma, Cerro",Bolivia,-18.5,-68.07,3876,Maar,Holocene,vol-red
Colo [Una Una],Indonesia,-0.17,121.608,507,Stratovolcano,Historical,vol-red
Comondu-La Purisima,Mexico,26,-111.92,780,Volcanic field,Holocene,vol-red
Concepcion,Nicaragua,11.538,-85.622,1700,Stratovolcano,Historical,vol-red
Conchagua,El Salvador,13.277,-87.853,1250,Stratovolcano,Uncertain,vol-red
Conchaguita,El Salvador,13.22,-87.765,550,Stratovolcano,Historical,vol-red
"Cook, Isla",Chile,-54.95,-70.27,150,Lava dome,Holocene,vol-red
Copahue,Chile,-37.85,-71.17,2965,Stratovolcano,Historical,vol-red
Copiapo,Chile,-27.3,-69.13,6052,Stratovolcano,Uncertain,vol-red
Corbetti Caldera,Ethiopia,7.18,38.43,2320,Caldera,Holocene,vol-red
Corcovado,Chile,-43.18,-72.8,2300,Stratovolcano,Historical,vol-red
Cordon Chalviri,Chile,-23.85,-67.62,5623,Stratovolcano,Holocene,vol-red
Cordon de Puntas Negras,Chile,-23.75,-67.53,5852,Stratovolcano,Holocene,vol-red
Cordon del Azufre,Argentina,-25.33,-68.52,5463,Complex volcano,Holocene,vol-red
Coronado,Mexico,29.08,-113.513,440,Stratovolcano,Fumarolic,vol-red
Coropuna,Peru,-15.52,-72.65,6377,Stratovolcano,Holocene,vol-red
Corvo,Portugal,39.67,-31.07,715,Stratovolcano,Holocene,vol-red
Cosiguina,Nicaragua,12.98,-87.57,872,Stratovolcano,Historical,vol-red
Coso Volc Field,United States,36.03,-117.82,2400,Lava dome,Holocene,vol-red
Cotopaxi,Ecuador,-0.677,-78.436,5911,Stratovolcano,Historical,vol-red
Crater Basalt Volc Field,Argentina,-42.017,-70.183,1359,Cinder cones,Holocene,vol-red
Crater Lake,United States,42.93,-122.12,2487,Caldera,Radiocarbon,vol-red
Crater Mountain,Papua New Guinea,-6.58,145.08,3233,Stratovolcano,Holocene,vol-red
Craters of the Moon,United States,43.42,-113.5,2005,Cinder cone,Radiocarbon,vol-red
